key,name,iataCode,scope,city,country,webSite,email,phoneNumber
airport-01,L,QAR,INTERNATIONAL,L,L,http://lorem.com/ipsum,a@b.e,null
airport-02,Lo,SPA,INTERNATIONAL,Lo,Lo,http://example.org/a/b?a&b,"",123456
airport-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",GER,DOMESTIC,"Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit amet, consectetur adipiscin",http://www.lorem-ipsum.org/dolor/sit.html,null,+674687745
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",FRA,REGIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",http://www.lorem-ipsum.org/dolor/sit.html,acme@lorem-ipsum.org,null
airport-05,โลเร็ม อิปซัม,IND,INTERNATIONAL,โลเร็ม อิปซัม,โลเร็ม อิปซัม,null,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,""
airport-06,لوريم إيبسوم,ARG,DOMESTIC,لوريم إيبسوم,لوريم إيبسوم,"",a@b.esx,+987654321
airport-07,洛伦·伊普森,MEX,REGIONAL,洛伦·伊普森,洛伦·伊普森,http://example.org/a/b,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,+12345678901234
airport-08,<marquee>Hacked</marquee>,JAP,INTERNATIONAL,<marquee>Hacked</marquee>,<marquee>Hacked</marquee>,http://lorem.com/ipsum,a@b.e,12345678901224
airport-09,<script>alert(‘Hacked!’);</script>,COR,DOMESTIC,<script>alert(‘Hacked!’);</script>,<script>alert(‘Hacked!’);</script>,http://example.org/a/b,"",987754321
airport-10,' or 'A' = 'A,SOS,REGIONAL,' or 'A' = 'A,' or 'A' = 'A,"",null,+674687743
