key,username,moment,subject,text,score,recommended
review-01,L,2024/12/31 23:59,L,L,null,null
review-02,Lo,2025/01/01 00:00,Lo,Lo,0.00,TRUE
review-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",2000/01/01 00:01,"Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",10.00,FALSE
review-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",2000/01/01 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5.00,TRUE
review-05,โลเร็ม อิปซัม,2021/03/29 00:00,โลเร็ม อิปซัม,โลเร็ม อิปซัม,0.01,TRUE
review-06,لوريم إيبسوم,2021/03/29 00:00,لوريم إيبسوم,لوريم إيبسوم,9.99,TRUE
review-07,洛伦·伊普森,2024/12/31 23:59,洛伦·伊普森,洛伦·伊普森,null,TRUE
review-08,<marquee>Hacked</marquee>,2000/01/01 00:00,<marquee>Hacked</marquee>,<marquee>Hacked</marquee>,"",FALSE
review-09,<script>alert(‘Hacked!’);</script>,2025/01/01 00:00,<script>alert(‘Hacked!’);</script>,<script>alert(‘Hacked!’);</script>,5.00,FALSE
review-10,' or 'A' = 'A,2000/01/01 00:01,' or 'A' = 'A,' or 'A' = 'A,3.99,""
