key,name,iataCode,webSite,type,foundationMoment,email,phoneNumber
airline-01,L,AFR,http://lorem.com/ipsum,LUXURY,2000/01/01 00:00,a@b.e,+987654321
airline-02,Lo,QFA,http://lorem.com/ipsum,STANDARD,2025/01/01 00:00,a@b.esx,+12345678901234
airline-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",SIA,http://www.lorem-ipsum.org/dolor/sit.html,LOW_COST,2024/12/31 23:59,acme@lorem-ipsum.org,555555555555
airline-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",KLM,http://example.org?a&b,STANDARD,2000/01/01 00:01,acme@lorem-ipsum.org,123456
airline-05,โลเร็ม อิปซัม,KNN,http://example.org/a/b,LUXURY,2000/01/01 00:00,a@b.esx,+987654322
airline-06,لوريم إيبسوم,UFD,http://example.org?a=1&b=2,STANDARD,2025/01/01 00:00,a@b.e,555555555555
airline-07,洛伦·伊普森,ADS,http://example.org/,LOW_COST,2024/12/31 23:59,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,+12345678911234
airline-08,<marquee>Hacked</marquee>,VGZ,http://example.org/,LUXURY,2000/01/01 00:01,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,12345678901224
airline-09,<script>alert(‘Hacked!’);</script>,ABC,http://example.org?a=1&b=2,STANDARD,2025/01/01 00:00,acme@lorem-ipsum.org,987754321
airline-10,' or 'A' = 'A,OIT,http://example.org/a/b,LOW_COST,2024/12/31 23:59,acme@lorem-ipsum.org,123457
